description,genre
"A team of explorers embark on an extraordinary space adventure through a newly discovered wormhole, seeking a new habitable planet for humanity's survival.",Adventure
"In this vibrant animation, newly crowned Queen Elsa accidentally uses her power to turn things into ice, cursing her home in infinite winter. Her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",Animation
"A family must live in silence to avoid mysterious creatures that hunt by sound, facing constant horror. They communicate using sign language and must navigate a world where the slightest noise could mean their demise.",Horror
"In this heartwarming animation, the toys are accidentally delivered to a daycare center instead of the attic before Andy leaves for college. It's up to Woody to convince the other toys that they weren't abandoned.",Animation
"An ex-hitman comes out of retirement to track down the gangsters who took everything from him, unleashing a relentless barrage of action.",Action
Earth's mightiest heroes assemble for a global action sequence to stop Loki and his alien army from conquering Earth.,Action
"When his daughter and her friend go missing, a desperate father takes matters into his own hands, leading to an intense psychological thriller as the police investigation falters",Thriller
"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Based on a true story, this film launched a popular horror cinematic universe.",Horror
"A brilliant and gifted young man, Paul Atreides, must embark on a dangerous adventure to the most perilous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence, only those who can conquer their fear will survive.",Adventure
"A young Peruvian bear embarks on an adventure to London in search of a home. Finding himself lost and alone at Paddington Station, he begins to realize that city life is not what he had imagined, until he meets the kind Brown family.",Adventure
Greed and class discrimination create a tense thriller that threatens the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim family.,Thriller
"In this charming animation, the quiet life of a terrier named Max is upended when his owner takes in a stray dog named Duke. They soon find themselves lost in the city and must put their differences aside to make it home before their owner returns.",Animation
"A young African-American man visits his white girlfriend's parents for the first time, only to discover their unsettling secret, which quickly descends into horror.",Horror
"Based on a true story, a family on vacation in Thailand is caught in the devastating 2004 tsunami and must fight for survival and find each other amidst the chaos, creating a harrowing thriller.",Thriller
"Four teenagers are sucked into a magical video game and literally become the adult avatars they chose. They must work together on a perilous adventure to beat the game and return to the real world, facing challenges along the way.",Adventure
